session_id,file,lenT,lenC,hashT,hashC
140_A,140_A.parquet,2022,2022,7ba856182194d291ecf0ea69aceca351,559587a4771ec6dc53386bfe987d8505
142_A,142_A.parquet,2700,2700,ff4e9ded124e7130dee62bbf11db9cc4,efcbe17ff69086756650764632b3ea9a
143_A,143_A.parquet,2688,2688,3e10e0f278ba90cd4ff14f7d0d414a7e,018fc4a7f0bcef685336402404fa1abe
144_A,144_A.parquet,2454,2454,f7ff1d2eab0878ad779b6de8d38e8250,a7bffb5d4ce357a9e6f9babead81f54b
145_A,145_A.parquet,2700,2700,8fb7456a60b312e0b1f8748e981ca602,44a5612fe6869678de8996bdf21a0324
151_A,151_A.parquet,2700,2700,c4ab824e612b621dab5772407a2acbde,9e460ee21cfa0b78096453b438f57dc8
152_A,152_A.parquet,1410,1410,aaacbae131469fde40ec77e1d2a8400d,70064c22b0532e7d4fcbaddf900fa0ca
153_A,153_A.parquet,2700,2700,cc6b8442e7cfebb904e012f87ec49261,73c2d8712b759b9880088793f159a180
154_A,154_A.parquet,2700,2700,87f534f380b08f5513e8a69e7e317bba,40723e03737badf9ea42724a2c5fb48d
155_A,155_A.parquet,2700,2700,2c504a43d1a9dd091cd4f54a94ab5ec7,8d97bde0b57ecae61bc0020723504bc0
156_A,156_A.parquet,2700,2700,18eb42d9164406b1761739d5861c5564,d79a3fc1f634464ed2742a3e2870ceab
157_A,157_A.parquet,2280,2280,57d14dd585e2e8aa08ee39bdb333e66d,2bbdaeb0b851a247a954cb3858b8d00b
157_B,157_B.parquet,1800,1800,06f203a627960ab0faa5652e1cabb6f8,62e3472597ff2ecfcc79a44f141084b0
158_A,158_A.parquet,2700,2700,73b5a0d87d5fd6fa3bb7b56d8ecb8543,b34d0a748f25a4a3c8fa677520beab30
159_A,159_A.parquet,2700,2700,a9340bf95b6e6d7a3d6ede5954fa7906,4f1a7555b39930a947045069e18c8efc
160_A,160_A.parquet,2514,2514,017610fe9344964c5cc97440ee6433e1,a09c045a963330c171ce26633b8b6d5d
